"Sample","Num_Segments","Mean_Seg_Mean","Frac_Amp","Frac_Del","SampleType"
"TCGA-A2-A0SX-10A-01D-A087-01",53,-0.494101886792453,0.0188679245283019,0.264150943396226,"Normal"
"TCGA-A2-A0SY-01A-31D-A087-01",148,-0.153465540540541,0.22972972972973,0.290540540540541,"Tumor"
"TCGA-A2-A0SY-10A-01D-A087-01",77,-0.336620779220779,0.051948051948052,0.298701298701299,"Normal"
"TCGA-A2-A0T0-01A-22D-A087-01",263,-0.245977186311787,0.163498098859316,0.4106463878327,"Tumor"
"TCGA-A2-A0T0-10A-01D-A087-01",49,-0.363863265306122,0.0204081632653061,0.244897959183673,"Normal"
"TCGA-A2-A0T1-01A-21D-A087-01",289,0.253928719723183,0.41522491349481,0.121107266435986,"Tumor"
"TCGA-A2-A0T1-10A-01D-A087-01",101,-0.316044554455446,0.0693069306930693,0.316831683168317,"Normal"
"TCGA-A2-A0T2-01A-11D-A087-01",220,-0.401332727272727,0.354545454545455,0.586363636363636,"Tumor"
"TCGA-A2-A0T2-10A-01D-A087-01",57,-0.358157894736842,0.0526315789473684,0.245614035087719,"Normal"
"TCGA-A2-A0T3-01A-21D-A111-01",241,0.116639834024896,0.37344398340249,0.240663900414938,"Tumor"
"TCGA-A2-A0T3-10A-01D-A113-01",35,-0.29102,0,0.171428571428571,"Normal"
"TCGA-A2-A0T4-01A-31D-A087-01",119,0.227238655462185,0.352941176470588,0.235294117647059,"Tumor"
"TCGA-A2-A0T4-10A-01D-A087-01",57,-0.3659,0.0350877192982456,0.263157894736842,"Normal"
"TCGA-A2-A0T5-01A-21D-A087-01",75,-0.471281333333333,0.12,0.32,"Tumor"
"TCGA-A2-A0T5-10A-01D-A087-01",49,-0.301944897959184,0.0408163265306122,0.224489795918367,"Normal"
"TCGA-A2-A0T6-01A-11D-A087-01",61,-0.234129508196721,0.0983606557377049,0.295081967213115,"Tumor"
"TCGA-A2-A0T6-10A-01D-A087-01",59,-0.166194915254237,0.0847457627118644,0.220338983050847,"Normal"
"TCGA-A2-A0T7-01A-21D-A087-01",167,-0.128999401197605,0.203592814371257,0.29940119760479,"Tumor"
"TCGA-A2-A0T7-10A-01D-A087-01",55,-0.29612,0.0545454545454545,0.236363636363636,"Normal"
"TCGA-A2-A0YC-01A-11D-A107-01",101,-0.619047524752475,0.158415841584158,0.376237623762376,"Tumor"
"TCGA-A2-A0YC-10A-01D-A107-01",37,-0.236627027027027,0.0540540540540541,0.135135135135135,"Normal"
"TCGA-A2-A0YD-01A-11D-A107-01",56,-0.184119642857143,0.0892857142857143,0.25,"Tumor"
"TCGA-A2-A0YD-10A-01D-A107-01",51,-0.394617647058824,0.0196078431372549,0.254901960784314,"Normal"
"TCGA-A2-A0YE-01A-11D-A107-01",248,0.0743943548387097,0.419354838709677,0.185483870967742,"Tumor"
"TCGA-A2-A0YE-10A-01D-A107-01",53,-0.295911320754717,0.0377358490566038,0.245283018867925,"Normal"
"TCGA-A2-A0YF-01A-21D-A107-01",116,-0.136252586206897,0.21551724137931,0.293103448275862,"Tumor"
"TCGA-A2-A0YF-10A-01D-A107-01",57,-0.493270175438597,0.0350877192982456,0.263157894736842,"Normal"
"TCGA-A2-A0YG-01A-21D-A107-01",319,0.110574921630094,0.241379310344828,0.156739811912226,"Tumor"
"TCGA-A2-A0YG-10A-01D-A107-01",39,-0.180097435897436,0.0256410256410256,0.179487179487179,"Normal"
"TCGA-A2-A0YH-01A-11D-A107-01",122,-0.0944516393442623,0.213114754098361,0.19672131147541,"Tumor"
"TCGA-A2-A0YH-10A-01D-A107-01",51,-0.292580392156863,0.0392156862745098,0.235294117647059,"Normal"
"TCGA-A2-A0YI-01A-31D-A10L-01",84,-0.0906607142857143,0.19047619047619,0.202380952380952,"Tumor"
"TCGA-A2-A0YI-10A-01D-A10L-01",65,-0.305416923076923,0.0461538461538462,0.276923076923077,"Normal"
"TCGA-A2-A0YJ-01A-11D-A107-01",221,0.180850226244344,0.393665158371041,0.262443438914027,"Tumor"
"TCGA-A2-A0YJ-10A-01D-A107-01",39,-0.183933333333333,0.0256410256410256,0.179487179487179,"Normal"
"TCGA-A2-A0YK-01A-22D-A107-01",59,-0.0764491525423729,0.203389830508475,0.135593220338983,"Tumor"
"TCGA-A2-A0YK-10A-01D-A107-01",47,0.127248936170213,0.170212765957447,0.0851063829787234,"Normal"
"TCGA-A2-A0YL-01A-21D-A107-01",84,-0.205460714285714,0.0714285714285714,0.178571428571429,"Tumor"
"TCGA-A2-A0YL-10A-01D-A107-01",57,-0.422419298245614,0,0.298245614035088,"Normal"
"TCGA-A2-A0YM-01A-11D-A107-01",361,0.156218005540166,0.346260387811634,0.227146814404432,"Tumor"
"TCGA-A2-A0YM-10A-01D-A107-01",45,-0.462195555555556,0,0.244444444444444,"Normal"
"TCGA-A2-A0YT-01A-11D-A107-01",293,0.124421843003413,0.341296928327645,0.204778156996587,"Tumor"
"TCGA-A2-A0YT-10A-01D-A107-01",63,-0.278596825396825,0.0476190476190476,0.26984126984127,"Normal"
"TCGA-A2-A1FV-01A-11D-A13J-01",206,-0.432369902912621,0.271844660194175,0.412621359223301,"Tumor"
"TCGA-A2-A1FV-10A-01D-A13N-01",39,-0.423728205128205,0,0.205128205128205,"Normal"
"TCGA-A2-A1FW-01A-11D-A13J-01",574,0.192259407665505,0.458188153310105,0.17595818815331,"Tumor"
"TCGA-A2-A1FW-10A-01D-A13N-01",53,-0.183966037735849,0.0754716981132075,0.207547169811321,"Normal"
"TCGA-A2-A1FX-01A-11D-A13J-01",135,-0.353571851851852,0.281481481481481,0.422222222222222,"Tumor"
"TCGA-A2-A1FX-10A-01D-A13N-01",53,-0.496822641509434,0,0.283018867924528,"Normal"
"TCGA-A2-A1FZ-01A-51D-A14F-01",72,-0.169959722222222,0.236111111111111,0.263888888888889,"Tumor"
"TCGA-A2-A1FZ-10A-01D-A14F-01",45,-0.112417777777778,0.0888888888888889,0.155555555555556,"Normal"
"TCGA-A2-A1G0-01A-11D-A13J-01",101,-0.236989108910891,0.0792079207920792,0.297029702970297,"Tumor"
"TCGA-A2-A1G0-10A-01D-A13N-01",53,-0.240224528301887,0.0754716981132075,0.207547169811321,"Normal"
"TCGA-A2-A1G1-01A-21D-A13J-01",195,0.138461538461538,0.307692307692308,0.153846153846154,"Tumor"
"TCGA-A2-A1G1-10A-01D-A13N-01",49,-0.377995918367347,0.0204081632653061,0.244897959183673,"Normal"
"TCGA-A2-A1G4-01A-11D-A13J-01",135,0.117281481481481,0.37037037037037,0.237037037037037,"Tumor"
"TCGA-A2-A1G4-10A-01D-A13N-01",59,-0.450006779661017,0.0169491525423729,0.288135593220339,"Normal"
"TCGA-A2-A1G6-01A-11D-A13J-01",55,-0.532027272727273,0,0.290909090909091,"Tumor"
"TCGA-A2-A1G6-10A-01D-A13N-01",51,-0.216323529411765,0.0588235294117647,0.215686274509804,"Normal"
"TCGA-A2-A259-01A-11D-A16C-01",74,-0.266748648648649,0.0810810810810811,0.22972972972973,"Tumor"
"TCGA-A2-A259-10A-01D-A16C-01",51,-0.321035294117647,0.0392156862745098,0.235294117647059,"Normal"
"TCGA-A2-A25A-01A-12D-A16C-01",65,-0.411627692307692,0,0.292307692307692,"Tumor"
"TCGA-A2-A25A-10A-01D-A16C-01",35,-0.237314285714286,0,0.171428571428571,"Normal"
"TCGA-A2-A25B-01A-11D-A166-01",298,0.0380315436241611,0.332214765100671,0.281879194630872,"Tumor"
"TCGA-A2-A25B-10A-01D-A166-01",59,-0.349754237288136,0.0169491525423729,0.288135593220339,"Normal"
"TCGA-A2-A25C-01A-11D-A166-01",150,-0.183445333333333,0.24,0.473333333333333,"Tumor"
"TCGA-A2-A25C-10A-01D-A166-01",49,-0.288010204081633,0.0408163265306122,0.224489795918367,"Normal"
"TCGA-A2-A25D-01A-12D-A16C-01",202,-0.0229975247524752,0.277227722772277,0.217821782178218,"Tumor"
"TCGA-A2-A25D-10A-01D-A16C-01",37,-0.205143243243243,0.027027027027027,0.162162162162162,"Normal"
"TCGA-A2-A25E-01A-11D-A166-01",154,-0.270448701298701,0.201298701298701,0.402597402597403,"Tumor"
"TCGA-A2-A25E-10A-01D-A166-01",73,-0.484697260273973,0.0136986301369863,0.328767123287671,"Normal"
"TCGA-A2-A25F-01A-11D-A166-01",58,-0.196051724137931,0.0862068965517241,0.206896551724138,"Tumor"
"TCGA-A2-A25F-10A-01D-A166-01",49,-0.28735306122449,0.0204081632653061,0.244897959183673,"Normal"
"TCGA-A2-A3KC-01A-11D-A20R-01",73,0.0542424657534247,0.219178082191781,0.246575342465753,"Tumor"
"TCGA-A2-A3KC-10A-01D-A20R-01",79,-0.478832911392405,0.0126582278481013,0.341772151898734,"Normal"
"TCGA-A2-A3KD-01A-12D-A20R-01",86,-0.274432558139535,0.0581395348837209,0.337209302325581,"Tumor"
"TCGA-A2-A3KD-10A-01D-A20R-01",47,-0.259793617021277,0.0212765957446809,0.234042553191489,"Normal"
"TCGA-A2-A3XS-01A-11D-A22W-01",223,-0.122628251121076,0.273542600896861,0.394618834080717,"Tumor"
"TCGA-A2-A3XS-10A-01D-A22W-01",65,-0.363101538461538,0.0769230769230769,0.261538461538462,"Normal"
"TCGA-A2-A3XT-01A-11D-A22W-01",158,-0.334692405063291,0.183544303797468,0.411392405063291,"Tumor"
"TCGA-A2-A3XT-10A-01D-A22W-01",77,-0.624290909090909,0.038961038961039,0.311688311688312,"Normal"
"TCGA-A2-A3XU-01A-12D-A22W-01",171,-0.63646783625731,0.192982456140351,0.514619883040936,"Tumor"
"TCGA-A2-A3XU-10A-01D-A22W-01",53,-0.352249056603774,0.0188679245283019,0.264150943396226,"Normal"
"TCGA-A2-A3XV-01A-21D-A238-01",107,-0.463770093457944,0.149532710280374,0.411214953271028,"Tumor"
"TCGA-A2-A3XV-10A-01D-A238-01",49,-0.222981632653061,0.0612244897959184,0.204081632653061,"Normal"
"TCGA-A2-A3XW-01A-11D-A238-01",92,-0.293104347826087,0.0869565217391304,0.25,"Tumor"
"TCGA-A2-A3XW-10A-01D-A238-01",95,-0.478842105263158,0.0210526315789474,0.357894736842105,"Normal"
"TCGA-A2-A3XX-01A-21D-A238-01",185,-0.00275891891891891,0.286486486486487,0.275675675675676,"Tumor"
"TCGA-A2-A3XY-01A-11D-A238-01",114,0.00724473684210526,0.368421052631579,0.201754385964912,"Tumor"
"TCGA-A2-A3XZ-01A-42D-A238-01",131,-0.0477503816793893,0.206106870229008,0.213740458015267,"Tumor"
"TCGA-A2-A3XZ-10A-01D-A238-01",57,-0.438857894736842,0.0175438596491228,0.280701754385965,"Normal"
"TCGA-A2-A3Y0-01A-11D-A238-01",282,-0.270139716312057,0.117021276595745,0.347517730496454,"Tumor"
"TCGA-A2-A3Y0-10A-01D-A238-01",93,-0.445482795698925,0.021505376344086,0.354838709677419,"Normal"
"TCGA-A2-A4RW-01A-21D-A25N-01",218,-0.104022018348624,0.302752293577982,0.36697247706422,"Tumor"
"TCGA-A2-A4RW-10A-01D-A25N-01",61,-0.411662295081967,0.0163934426229508,0.295081967213115,"Normal"
"TCGA-A2-A4RX-01A-11D-A25N-01",91,-0.571508791208791,0.043956043956044,0.494505494505495,"Tumor"
"TCGA-A2-A4RX-10A-01D-A25N-01",99,-0.507226262626263,0.0303030303030303,0.353535353535354,"Normal"
"TCGA-A2-A4RY-01A-31D-A25N-01",43,-0.413525581395349,0.0232558139534884,0.209302325581395,"Tumor"
"TCGA-A2-A4RY-10A-01D-A25N-01",59,-0.411215254237288,0,0.305084745762712,"Normal"
"TCGA-A2-A4S0-01A-21D-A25N-01",55,-0.412785454545455,0.0181818181818182,0.272727272727273,"Tumor"
